geometry,latitude,longitude,cod_evento,circoscriz,data_event,causa,tipologia,civico_eve,cod_via,denominazi,x,y
"{""type"":""Point"",""coordinates"":[656883.79,4552951.568]}",4552951.568,656883.79,246,2,19/01/2017,dissesto manto stradale,caduta pedone,104/H,720011904,VIA GIULIO PETRONI,656883.79,4552951.568
"{""type"":""Point"",""coordinates"":[656873.924,4552857.248]}",4552857.248,656873.924,247,2,03/08/2017,dissesto manto stradale,caduta pedone,16,720011904,VIA GIULIO PETRONI,656873.924,4552857.248
"{""type"":""Point"",""coordinates"":[656827.059,4552526.533]}",4552526.533,656827.059,248,2,10/05/2017,dissesto marciapiede,caduta pedone,66/B1,720011904,VIA GIULIO PETRONI,656827.059,4552526.533
"{""type"":""Point"",""coordinates"":[656815.978,4552495.482]}",4552495.482,656815.978,249,2,16/06/2017,dissesto marciapiede,caduta pedone,67,720011904,VIA GIULIO PETRONI,656815.978,4552495.482
"{""type"":""Point"",""coordinates"":[656819.057,4552406.304]}",4552406.304,656819.057,250,2,02/09/2017,dissesto manto stradale,caduta pedone,71,720011904,VIA GIULIO PETRONI,656819.057,4552406.304
"{""type"":""Point"",""coordinates"":[657376.033,4553968.178]}",4553968.178,657376.033,251,1,10/05/2017,altro - lavori,caduta con motociclo,56,700022293,VIA GIUSEPPE BOZZI,657376.033,4553968.178
"{""type"":""Point"",""coordinates"":[656229.725,4553309.29]}",4553309.29,656229.725,252,1,21/03/2017,altro - olio,caduta con ciclomotore,,720012064,VIA GIUSEPPE CAPRUZZI,656229.725,4553309.29
"{""type"":""Point"",""coordinates"":[656229.725,4553309.29]}",4553309.29,656229.725,253,2,03/01/2017,tombino,caduta pedone,,720012064,VIA GIUSEPPE CAPRUZZI,656229.725,4553309.29
"{""type"":""Point"",""coordinates"":[656229.725,4553309.29]}",4553309.29,656229.725,254,2,11/03/2017,dissesto marciapiede,caduta pedone,,720012064,VIA GIUSEPPE CAPRUZZI,656229.725,4553309.29
"{""type"":""Point"",""coordinates"":[656229.725,4553309.29]}",4553309.29,656229.725,255,2,12/04/2017,dissesto marciapiede,caduta pedone,,720012064,VIA GIUSEPPE CAPRUZZI,656229.725,4553309.29
"{""type"":""Point"",""coordinates"":[656229.725,4553309.29]}",4553309.29,656229.725,256,1,02/04/2017,altro - dissesto gradini,caduta pedone,,720012064,VIA GIUSEPPE CAPRUZZI,656229.725,4553309.29
"{""type"":""Point"",""coordinates"":[656229.725,4553309.29]}",4553309.29,656229.725,257,2,20/09/2017,dissesto manto stradale,caduta pedone,,720012064,VIA GIUSEPPE CAPRUZZI,656229.725,4553309.29
"{""type"":""Point"",""coordinates"":[656229.725,4553309.29]}",4553309.29,656229.725,258,1,15/09/2017,altro - dissesto gradini,caduta pedone,,720012064,VIA GIUSEPPE CAPRUZZI,656229.725,4553309.29
